,Year,Season,region,NOC,Bronze,Gold,NoMedal,Silver,Total_Medals
535,1952,Summer,Italy,ITA,14,13,287.0,16,43
536,1952,Summer,Jamaica,JAM,0,5,8.0,3,8
537,1952,Summer,Japan,JPN,2,1,120.0,9,12
538,1952,Summer,Lebanon,LIB,1,0,7.0,1,2
539,1952,Summer,Liechtenstein,LIE,0,0,2.0,0,0
540,1952,Summer,Luxembourg,LUX,0,1,87.0,0,1
541,1952,Summer,Mexico,MEX,0,0,74.0,1,1
542,1952,Summer,Monaco,MON,0,0,2.0,0,0
543,1952,Summer,Myanmar,MYA,0,0,5.0,0,0
544,1952,Summer,Netherlands,NED,0,0,156.0,18,18
545,1952,Summer,New Zealand,NZL,2,1,16.0,0,3
546,1952,Summer,Nigeria,NGR,0,0,15.0,0,0
547,1952,Summer,Norway,NOR,0,1,153.0,7,8
548,1952,Summer,Pakistan,PAK,0,0,49.0,0,0
549,1952,Summer,Panama,PAN,0,0,1.0,0,0
550,1952,Summer,Philippines,PHI,0,0,22.0,0,0
551,1952,Summer,Poland,POL,1,1,223.0,2,4
552,1952,Summer,Portugal,POR,1,0,131.0,0,1
553,1952,Summer,Puerto Rico,PUR,0,0,17.0,0,0
554,1952,Summer,Romania,ROU,1,1,227.0,1,3
555,1952,Summer,Russia,URS,16,34,314.0,57,107
556,1952,Summer,Serbia,YUG,0,4,145.0,20,24
557,1952,Summer,South Africa,RSA,4,2,80.0,8,14
558,1952,Summer,South Korea,KOR,2,0,19.0,0,2
559,1952,Summer,Spain,ESP,0,0,30.0,0,0
560,1952,Summer,Sri Lanka,SRI,0,0,7.0,0,0
561,1952,Summer,Sweden,SWE,21,16,251.0,18,55
562,1952,Summer,Switzerland,SUI,10,2,195.0,16,28
563,1952,Summer,Thailand,THA,0,0,15.0,0,0
564,1952,Summer,Trinidad,TTO,2,0,0.0,0,2
565,1952,Summer,Turkey,TUR,1,2,55.0,0,3
566,1952,Summer,UK,GBR,25,0,321.0,1,26
567,1952,Summer,USA,USA,27,68,278.0,22,117
568,1952,Summer,Uruguay,URU,14,0,25.0,0,14
569,1952,Summer,Venezuela,VEN,1,0,57.0,0,1
570,1952,Summer,Vietnam,VNM,0,0,13.0,0,0
571,1952,Winter,Argentina,ARG,0,0,20.0,0,0
572,1952,Winter,Australia,AUS,0,0,17.0,0,0
573,1952,Winter,Austria,AUT,2,2,61.0,4,8
574,1952,Winter,Belgium,BEL,0,0,14.0,0,0
575,1952,Winter,Bulgaria,BUL,0,0,19.0,0,0
576,1952,Winter,Canada,CAN,1,16,42.0,0,17
577,1952,Winter,Chile,CHI,0,0,7.0,0,0
578,1952,Winter,Czech Republic,TCH,0,0,26.0,0,0
579,1952,Winter,Finland,FIN,2,6,60.0,4,12
580,1952,Winter,France,FRA,1,0,40.0,0,1
581,1952,Winter,Germany,GER,2,5,62.0,2,9
582,1952,Winter,Greece,GRE,0,0,6.0,0,0
583,1952,Winter,Hungary,HUN,2,0,18.0,0,2
584,1952,Winter,Iceland,ISL,0,0,24.0,0,0
585,1952,Winter,Italy,ITA,1,1,41.0,0,2
586,1952,Winter,Japan,JPN,0,0,25.0,0,0
587,1952,Winter,Lebanon,LIB,0,0,3.0,0,0
588,1952,Winter,Netherlands,NED,0,0,19.0,3,3
589,1952,Winter,New Zealand,NZL,0,0,6.0,0,0
590,1952,Winter,Norway,NOR,6,7,76.0,6,19
591,1952,Winter,Poland,POL,0,0,40.0,0,0
592,1952,Winter,Portugal,POR,0,0,1.0,0,0
593,1952,Winter,Romania,ROU,0,0,25.0,0,0
594,1952,Winter,Serbia,YUG,0,0,9.0,0,0
595,1952,Winter,Spain,ESP,0,0,11.0,0,0
596,1952,Winter,Sweden,SWE,23,0,67.0,0,23
597,1952,Winter,Switzerland,SUI,3,0,69.0,0,3
598,1952,Winter,UK,GBR,0,1,34.0,0,1
599,1952,Winter,USA,USA,1,4,64.0,22,27
600,1956,Summer,Afghanistan,AFG,0,0,12.0,0,0
601,1956,Summer,Argentina,ARG,1,0,36.0,0,1
602,1956,Summer,Australia,AUS,23,28,328.0,13,64
603,1956,Summer,Austria,AUT,4,0,45.0,0,4
604,1956,Summer,Bahamas,BAH,1,0,2.0,0,1
605,1956,Summer,Belgium,BEL,0,0,73.0,2,2
606,1956,Summer,Bermuda,BER,0,0,2.0,0,0
607,1956,Summer,Brazil,BRA,0,1,53.0,0,1
608,1956,Summer,Bulgaria,BUL,14,1,58.0,3,18
609,1956,Summer,Cambodia,CAM,0,0,2.0,0,0
610,1956,Summer,Canada,CAN,4,5,115.0,9,18
611,1956,Summer,Chile,CHI,2,0,37.0,2,4
612,1956,Summer,China,HKG,0,0,4.0,0,0
613,1956,Summer,Colombia,COL,0,0,43.0,0,0
614,1956,Summer,Cuba,CUB,0,0,23.0,0,0
615,1956,Summer,Czech Republic,TCH,0,1,152.0,5,6
616,1956,Summer,Denmark,DEN,1,1,35.0,2,4
617,1956,Summer,Egypt,EGY,0,0,6.0,0,0
618,1956,Summer,Ethiopia,ETH,0,0,30.0,0,0
619,1956,Summer,Fiji,FIJ,0,0,5.0,0,0
620,1956,Summer,Finland,FIN,20,3,105.0,1,24
621,1956,Summer,France,FRA,12,7,172.0,13,32
622,1956,Summer,Germany,GER,23,8,184.0,19,50
623,1956,Summer,Greece,GRE,1,0,14.0,0,1
624,1956,Summer,Guyana,GUY,0,0,6.0,0,0
625,1956,Summer,Hungary,HUN,14,25,127.0,18,57
626,1956,Summer,Iceland,ISL,0,0,1.0,1,1
627,1956,Summer,India,IND,0,16,59.0,0,16
628,1956,Summer,Indonesia,INA,0,0,23.0,0,0
629,1956,Summer,Iran,IRI,0,2,12.0,2,4
630,1956,Summer,Ireland,IRL,3,1,15.0,1,5
631,1956,Summer,Israel,ISR,0,0,3.0,0,0
632,1956,Summer,Italy,ITA,8,23,140.0,8,39
633,1956,Summer,Jamaica,JAM,0,0,13.0,0,0
634,1956,Summer,Japan,JPN,2,4,161.0,12,18
635,1956,Summer,Kenya,KEN,0,0,28.0,0,0
636,1956,Summer,Liberia,LBR,0,0,11.0,0,0
637,1956,Summer,Luxembourg,LUX,0,0,23.0,0,0
638,1956,Summer,Malaysia,MAL,0,0,34.0,0,0
639,1956,Summer,Malaysia,NBO,0,0,2.0,0,0
640,1956,Summer,Mexico,MEX,1,1,31.0,0,2
641,1956,Summer,Myanmar,MYA,0,0,10.0,0,0
642,1956,Summer,New Zealand,NZL,0,3,50.0,0,3
643,1956,Summer,Nigeria,NGR,0,0,14.0,0,0
644,1956,Summer,Norway,NOR,2,1,9.0,0,3
645,1956,Summer,Pakistan,PAK,0,0,62.0,14,14
646,1956,Summer,Peru,PER,0,0,8.0,0,0
647,1956,Summer,Philippines,PHI,0,0,40.0,0,0
648,1956,Summer,Poland,POL,7,1,87.0,9,17
649,1956,Summer,Portugal,POR,0,0,13.0,0,0
650,1956,Summer,Puerto Rico,PUR,0,0,14.0,0,0
651,1956,Summer,Romania,ROU,7,6,72.0,2,15
652,1956,Summer,Russia,URS,53,67,232.0,43,163
653,1956,Summer,Serbia,YUG,0,0,12.0,22,22
654,1956,Summer,South Africa,RSA,7,0,76.0,0,7
655,1956,Summer,South Korea,KOR,1,0,33.0,1,2
656,1956,Summer,Spain,ESP,0,0,4.0,0,0
657,1956,Summer,Sri Lanka,SRI,0,0,3.0,0,0
658,1956,Summer,Sweden,SWE,5,4,122.0,12,21
659,1956,Summer,Switzerland,SUI,0,0,12.0,0,0
660,1956,Summer,Taiwan,TPE,0,0,23.0,0,0
661,1956,Summer,Thailand,THA,0,0,39.0,0,0
662,1956,Summer,Trinidad,TTO,0,0,10.0,0,0
663,1956,Summer,Turkey,TUR,2,3,19.0,2,7
664,1956,Summer,UK,GBR,19,7,217.0,15,41
665,1956,Summer,USA,USA,18,44,266.0,42,104
666,1956,Summer,Uganda,UGA,0,0,5.0,0,0
667,1956,Summer,Uruguay,URU,12,0,17.0,0,12
668,1956,Summer,Venezuela,VEN,0,0,33.0,0,0
669,1956,Summer,Vietnam,VNM,0,0,10.0,0,0
670,1956,Winter,Australia,AUS,0,0,17.0,0,0
671,1956,Winter,Austria,AUT,4,5,66.0,3,12
672,1956,Winter,Belgium,BEL,0,0,4.0,0,0
673,1956,Winter,Boliva,BOL,0,0,2.0,0,0
674,1956,Winter,Bulgaria,BUL,0,0,15.0,0,0
675,1956,Winter,Canada,CAN,18,0,32.0,2,20
676,1956,Winter,Chile,CHI,0,0,7.0,0,0
677,1956,Winter,Czech Republic,TCH,0,0,62.0,0,0
678,1956,Winter,Finland,FIN,1,5,39.0,6,12
679,1956,Winter,France,FRA,0,0,52.0,0,0
680,1956,Winter,Germany,GER,1,1,78.0,0,2
681,1956,Winter,Greece,GRE,0,0,2.0,0,0
682,1956,Winter,Hungary,HUN,2,0,0.0,0,2
683,1956,Winter,Iceland,ISL,0,0,14.0,0,0
684,1956,Winter,Iran,IRI,0,0,9.0,0,0
685,1956,Winter,Italy,ITA,0,1,85.0,6,7
686,1956,Winter,Japan,JPN,0,0,25.0,1,1
687,1956,Winter,Lebanon,LIB,0,0,8.0,0,0
688,1956,Winter,Liechtenstein,LIE,0,0,14.0,0,0
689,1956,Winter,Netherlands,NED,0,0,15.0,0,0
690,1956,Winter,Norway,NOR,1,2,67.0,1,4
691,1956,Winter,Poland,POL,1,0,73.0,0,1
692,1956,Winter,Romania,ROU,0,0,31.0,0,0
693,1956,Winter,Russia,URS,6,25,44.0,4,35
694,1956,Winter,Serbia,YUG,0,0,33.0,0,0
695,1956,Winter,South Korea,KOR,0,0,10.0,0,0
696,1956,Winter,Spain,ESP,0,0,18.0,0,0
697,1956,Winter,Sweden,SWE,9,2,67.0,4,15
698,1956,Winter,Switzerland,SUI,1,4,67.0,2,7
699,1956,Winter,Turkey,TUR,0,0,10.0,0,0
700,1956,Winter,UK,GBR,0,0,67.0,0,0
701,1956,Winter,USA,USA,3,2,62.0,19,24
702,1960,Summer,Afghanistan,AFG,0,0,15.0,0,0
703,1960,Summer,Argentina,ARG,1,0,91.0,0,1
704,1960,Summer,Australia,AUS,11,8,221.0,24,43
705,1960,Summer,Austria,AUT,0,1,178.0,2,3
706,1960,Summer,Bahamas,BAH,0,0,10.0,0,0
707,1960,Summer,Belgium,BEL,2,0,127.0,2,4
708,1960,Summer,Bermuda,BER,0,0,4.0,0,0
709,1960,Summer,Brazil,BRA,11,0,61.0,0,11
710,1960,Summer,Bulgaria,BUL,3,1,162.0,3,7
711,1960,Summer,Canada,CAN,0,0,111.0,9,9
712,1960,Summer,Chile,CHI,0,0,9.0,0,0
713,1960,Summer,China,HKG,0,0,1.0,0,0
714,1960,Summer,Colombia,COL,0,0,21.0,0,0
715,1960,Summer,Cuba,CUB,0,0,16.0,0,0
716,1960,Summer,Curacao,AHO,0,0,4.0,0,0
717,1960,Summer,Czech Republic,TCH,9,4,169.0,6,19
718,1960,Summer,Denmark,DEN,4,2,79.0,16,22
719,1960,Summer,Ethiopia,ETH,0,1,13.0,0,1
720,1960,Summer,Fiji,FIJ,0,0,3.0,0,0
721,1960,Summer,Finland,FIN,4,1,204.0,1,6
722,1960,Summer,France,FRA,4,0,310.0,6,10
723,1960,Summer,Germany,GER,21,28,313.0,32,81
724,1960,Summer,Ghana,GHA,0,0,14.0,1,1
725,1960,Summer,Greece,GRE,0,3,51.0,0,3
726,1960,Summer,Guyana,GUY,0,0,6.0,0,0
727,1960,Summer,Haiti,HAI,0,0,1.0,0,0
728,1960,Summer,Hungary,HUN,36,9,226.0,15,60
729,1960,Summer,Iceland,ISL,0,0,11.0,0,0
730,1960,Summer,India,IND,0,0,32.0,13,13
731,1960,Summer,Indonesia,INA,0,0,22.0,0,0
732,1960,Summer,Iran,IRI,3,0,18.0,1,4
733,1960,Summer,Iraq,IRQ,1,0,25.0,0,1
734,1960,Summer,Ireland,IRL,0,0,50.0,0,0
735,1960,Summer,Israel,ISR,0,0,41.0,0,0
736,1960,Summer,Italy,ITA,28,31,260.0,16,75
737,1960,Summer,Japan,JPN,12,6,198.0,8,26
738,1960,Summer,Kenya,KEN,0,0,22.0,0,0
739,1960,Summer,Lebanon,LIB,0,0,18.0,0,0
740,1960,Summer,Liberia,LBR,0,0,6.0,0,0
741,1960,Summer,Liechtenstein,LIE,0,0,4.0,0,0
742,1960,Summer,Luxembourg,LUX,0,0,114.0,0,0
743,1960,Summer,Malaysia,MAL,0,0,10.0,0,0
744,1960,Summer,Malta,MLT,0,0,11.0,0,0
745,1960,Summer,Mexico,MEX,1,0,98.0,0,1
746,1960,Summer,Monaco,MON,0,0,10.0,0,0
747,1960,Summer,Morocco,MAR,0,0,101.0,1,1
748,1960,Summer,Myanmar,MYA,0,0,8.0,0,0
749,1960,Summer,Netherlands,NED,1,0,148.0,0,1
750,1960,Summer,New Zealand,NZL,1,2,41.0,0,3
751,1960,Summer,Nigeria,NGR,0,0,15.0,0,0
752,1960,Summer,Norway,NOR,0,2,40.0,0,2
753,1960,Summer,Pakistan,PAK,1,12,36.0,0,13
754,1960,Summer,Panama,PAN,0,0,7.0,0,0
755,1960,Summer,Peru,PER,0,0,25.0,0,0
756,1960,Summer,Philippines,PHI,0,0,42.0,0,0
757,1960,Summer,Poland,POL,15,4,261.0,11,30
758,1960,Summer,Portugal,POR,0,0,80.0,1,1
759,1960,Summer,Puerto Rico,PUR,0,0,22.0,0,0
760,1960,Summer,Romania,ROU,7,3,115.0,1,11
761,1960,Summer,Russia,URS,40,54,228.0,54,148
762,1960,Summer,San Marino,SMR,0,0,11.0,0,0
763,1960,Summer,Serbia,YUG,0,16,154.0,1,17
764,1960,Summer,South Africa,RSA,2,0,63.0,1,3
765,1960,Summer,South Korea,KOR,0,0,49.0,0,0
766,1960,Summer,Spain,ESP,14,0,204.0,0,14
767,1960,Summer,Sri Lanka,SRI,0,0,5.0,0,0
768,1960,Summer,Sudan,SUD,0,0,13.0,0,0
769,1960,Summer,Sweden,SWE,1,1,214.0,1,3
770,1960,Summer,Switzerland,SUI,3,0,190.0,2,5
771,1960,Summer,Syria,UAR,1,0,117.0,1,2
772,1960,Summer,Taiwan,TPE,0,0,29.0,1,1
773,1960,Summer,Thailand,THA,0,0,22.0,0,0
774,1960,Summer,Trinidad,WIF,5,0,12.0,0,5
775,1960,Summer,Tunisia,TUN,0,0,51.0,0,0
776,1960,Summer,Turkey,TUR,0,7,42.0,2,9
777,1960,Summer,UK,GBR,15,2,299.0,11,28
778,1960,Summer,USA,USA,11,67,265.0,20,98
779,1960,Summer,Uganda,UGA,0,0,16.0,0,0
780,1960,Summer,Uruguay,URU,0,0,40.0,0,0
781,1960,Summer,Venezuela,VEN,0,0,46.0,0,0
782,1960,Summer,Vietnam,VNM,0,0,5.0,0,0
783,1960,Summer,Zimbabwe,ZIM,0,0,3.0,0,0
784,1960,Summer,Zimbabwe,RHO,0,0,8.0,0,0
785,1960,Winter,Argentina,ARG,0,0,12.0,0,0
786,1960,Winter,Australia,AUS,0,0,38.0,0,0
787,1960,Winter,Austria,AUT,3,1,36.0,2,6
788,1960,Winter,Bulgaria,BUL,0,0,15.0,0,0
789,1960,Winter,Canada,CAN,1,3,50.0,17,21
790,1960,Winter,Chile,CHI,0,0,12.0,0,0
791,1960,Winter,Czech Republic,TCH,0,0,21.0,1,1
792,1960,Winter,Denmark,DEN,0,0,3.0,0,0
793,1960,Winter,Finland,FIN,4,5,58.0,3,12
794,1960,Winter,France,FRA,2,1,52.0,0,3
795,1960,Winter,Germany,GER,1,4,100.0,4,9
796,1960,Winter,Hungary,HUN,0,0,2.0,0,0
797,1960,Winter,Iceland,ISL,0,0,10.0,0,0
798,1960,Winter,Italy,ITA,1,0,56.0,0,1
799,1960,Winter,Japan,JPN,0,0,64.0,0,0
800,1960,Winter,Lebanon,LIB,0,0,5.0,0,0
801,1960,Winter,Liechtenstein,LIE,0,0,9.0,0,0
802,1960,Winter,Netherlands,NED,1,0,11.0,1,2
803,1960,Winter,New Zealand,NZL,0,0,12.0,0,0
804,1960,Winter,Norway,NOR,0,3,45.0,6,9
805,1960,Winter,Poland,POL,1,0,26.0,1,2
806,1960,Winter,Russia,URS,28,7,48.0,4,39
807,1960,Winter,South Africa,RSA,0,0,2.0,0,0
808,1960,Winter,South Korea,KOR,0,0,20.0,0,0
809,1960,Winter,Spain,ESP,0,0,12.0,0,0
810,1960,Winter,Sweden,SWE,2,5,62.0,2,9
811,1960,Winter,Switzerland,SUI,0,2,38.0,0,2
812,1960,Winter,Turkey,TUR,0,0,6.0,0,0
813,1960,Winter,UK,GBR,0,0,38.0,0,0
814,1960,Winter,USA,USA,4,19,78.0,4,27
815,1964,Summer,Afghanistan,AFG,0,0,8.0,0,0
816,1964,Summer,Algeria,ALG,0,0,7.0,0,0
817,1964,Summer,Argentina,ARG,0,0,121.0,1,1
818,1964,Summer,Australia,AUS,29,7,312.0,6,42
819,1964,Summer,Austria,AUT,0,0,76.0,0,0
820,1964,Summer,Bahamas,BAH,0,0,7.0,0,0
821,1964,Summer,Belgium,BEL,1,2,67.0,0,3
822,1964,Summer,Bermuda,BER,0,0,4.0,0,0
823,1964,Summer,Boliva,BOL,0,0,1.0,0,0
824,1964,Summer,Brazil,BRA,9,0,51.0,0,9
825,1964,Summer,Bulgaria,BUL,2,3,101.0,4,9
826,1964,Summer,Cambodia,CAM,0,0,15.0,0,0
827,1964,Summer,Cameroon,CMR,0,0,2.0,0,0
828,1964,Summer,Canada,CAN,1,0,153.0,1,2
829,1964,Summer,Chad,CHA,0,0,2.0,0,0
830,1964,Summer,Chile,CHI,0,0,13.0,0,0
831,1964,Summer,China,HKG,0,0,37.0,0,0
832,1964,Summer,Colombia,COL,0,0,33.0,0,0
833,1964,Summer,Costa Rica,CRC,0,0,1.0,0,0
834,1964,Summer,Cuba,CUB,0,0,75.0,1,1
835,1964,Summer,Curacao,AHO,0,0,4.0,0,0
836,1964,Summer,Czech Republic,TCH,12,5,120.0,34,51
837,1964,Summer,Denmark,DEN,4,5,57.0,1,10
838,1964,Summer,Dominican Republic,DOM,0,0,1.0,0,0
839,1964,Summer,Egypt,EGY,0,0,82.0,0,0
840,1964,Summer,Ethiopia,ETH,0,1,18.0,0,1
841,1964,Summer,Finland,FIN,2,3,135.0,0,5
842,1964,Summer,France,FRA,17,0,173.0,11,28
843,1964,Summer,Germany,GER,48,19,326.0,42,109
844,1964,Summer,Ghana,GHA,1,0,36.0,0,1
845,1964,Summer,Greece,GRE,0,0,15.0,0,0
846,1964,Summer,Guyana,GUY,0,0,1.0,0,0
847,1964,Summer,Hungary,HUN,6,39,247.0,6,51
848,1964,Summer,Iceland,ISL,0,0,5.0,0,0
849,1964,Summer,India,IND,0,14,91.0,0,14
850,1964,Summer,Iran,IRI,2,0,77.0,0,2
851,1964,Summer,Iraq,IRQ,0,0,17.0,0,0
852,1964,Summer,Ireland,IRL,1,0,26.0,0,1
853,1964,Summer,Israel,ISR,0,0,12.0,0,0
854,1964,Summer,Italy,ITA,7,13,189.0,27,47
855,1964,Summer,Ivory Coast,CIV,0,0,8.0,0,0
856,1964,Summer,Jamaica,JAM,0,0,30.0,0,0
857,1964,Summer,Japan,JPN,20,30,355.0,5,55
858,1964,Summer,Kenya,KEN,1,0,35.0,0,1
859,1964,Summer,Lebanon,LIB,0,0,5.0,0,0
860,1964,Summer,Liberia,LBR,0,0,2.0,0,0
861,1964,Summer,Liechtenstein,LIE,0,0,3.0,0,0
862,1964,Summer,Luxembourg,LUX,0,0,18.0,0,0
863,1964,Summer,Madagascar,MAD,0,0,4.0,0,0
864,1964,Summer,Malaysia,MAS,0,0,74.0,0,0
865,1964,Summer,Mali,MLI,0,0,2.0,0,0
866,1964,Summer,Mexico,MEX,1,0,108.0,0,1
867,1964,Summer,Monaco,MON,0,0,1.0,0,0
868,1964,Summer,Mongolia,MGL,0,0,30.0,0,0
869,1964,Summer,Morocco,MAR,0,0,20.0,0,0
870,1964,Summer,Myanmar,MYA,0,0,12.0,0,0
871,1964,Summer,Nepal,NEP,0,0,5.0,0,0
872,1964,Summer,Netherlands,NED,16,4,119.0,10,30
873,1964,Summer,New Zealand,NZL,2,4,74.0,0,6
874,1964,Summer,Niger,NIG,0,0,1.0,0,0
875,1964,Summer,Nigeria,NGR,1,0,18.0,0,1
876,1964,Summer,Norway,NOR,0,0,41.0,0,0
877,1964,Summer,Pakistan,PAK,0,0,28.0,14,14
878,1964,Summer,Panama,PAN,0,0,15.0,0,0
879,1964,Summer,Peru,PER,0,0,28.0,0,0
880,1964,Summer,Philippines,PHI,0,0,56.0,1,1
881,1964,Summer,Poland,POL,23,10,175.0,13,46
882,1964,Summer,Portugal,POR,0,0,14.0,0,0
883,1964,Summer,Puerto Rico,PUR,0,0,40.0,0,0
884,1964,Summer,Republic of Congo,CGO,0,0,2.0,0,0
885,1964,Summer,Romania,ROU,10,2,192.0,4,16
886,1964,Summer,Russia,URS,46,53,261.0,54,153
887,1964,Summer,Senegal,SEN,0,0,14.0,0,0
888,1964,Summer,Serbia,YUG,2,2,103.0,8,12
889,1964,Summer,South Korea,KOR,1,0,219.0,2,3
890,1964,Summer,Spain,ESP,0,0,64.0,0,0
891,1964,Summer,Sri Lanka,SRI,0,0,6.0,0,0
892,1964,Summer,Sweden,SWE,6,3,134.0,2,11
893,1964,Summer,Switzerland,SUI,1,0,109.0,2,3
894,1964,Summer,Taiwan,TPE,0,0,80.0,0,0
895,1964,Summer,Tanzania,TAN,0,0,4.0,0,0
896,1964,Summer,Thailand,THA,0,0,58.0,0,0
897,1964,Summer,Trinidad,TTO,5,0,11.0,1,6
898,1964,Summer,Tunisia,TUN,1,0,10.0,1,2
899,1964,Summer,Turkey,TUR,1,2,17.0,3,6
900,1964,Summer,UK,GBR,5,4,256.0,19,28
901,1964,Summer,USA,USA,30,82,274.0,32,144
902,1964,Summer,Uganda,UGA,0,0,19.0,0,0
903,1964,Summer,Uruguay,URU,1,0,28.0,0,1
904,1964,Summer,Venezuela,VEN,0,0,18.0,0,0
905,1964,Summer,Vietnam,VNM,0,0,18.0,0,0
906,1964,Summer,Zambia,ZAM,0,0,15.0,0,0
907,1964,Summer,Zimbabwe,ZIM,0,0,31.0,0,0
908,1964,Winter,Argentina,ARG,0,0,21.0,0,0
909,1964,Winter,Australia,AUS,0,0,14.0,0,0
910,1964,Winter,Austria,AUT,3,5,97.0,9,17
911,1964,Winter,Belgium,BEL,0,0,11.0,0,0
912,1964,Winter,Bulgaria,BUL,0,0,19.0,0,0
913,1964,Winter,Canada,CAN,0,4,78.0,2,6
914,1964,Winter,Chile,CHI,0,0,11.0,0,0
915,1964,Winter,Czech Republic,TCH,17,0,51.0,0,17
916,1964,Winter,Denmark,DEN,0,0,5.0,0,0
917,1964,Winter,Finland,FIN,5,3,70.0,7,15
918,1964,Winter,France,FRA,0,3,43.0,4,7
919,1964,Winter,Germany,GER,3,3,131.0,4,10
920,1964,Winter,Greece,GRE,0,0,7.0,0,0
921,1964,Winter,Hungary,HUN,0,0,39.0,0,0
922,1964,Winter,Iceland,ISL,0,0,10.0,0,0
923,1964,Winter,India,IND,0,0,1.0,0,0
924,1964,Winter,Iran,IRI,0,0,12.0,0,0
925,1964,Winter,Italy,ITA,6,0,81.0,2,8
926,1964,Winter,Japan,JPN,0,0,76.0,0,0
927,1964,Winter,Lebanon,LIB,0,0,12.0,0,0
928,1964,Winter,Liechtenstein,LIE,0,0,12.0,0,0
929,1964,Winter,Mongolia,MGL,0,0,22.0,0,0
930,1964,Winter,Netherlands,NED,0,1,10.0,1,2
931,1964,Winter,North Korea,PRK,0,0,19.0,1,1
932,1964,Winter,Norway,NOR,6,3,75.0,6,15
933,1964,Winter,Poland,POL,0,0,83.0,0,0
934,1964,Winter,Romania,ROU,0,0,31.0,0,0
935,1964,Winter,Russia,URS,9,30,54.0,7,46
936,1964,Winter,Serbia,YUG,0,0,54.0,0,0
937,1964,Winter,South Korea,KOR,0,0,16.0,0,0
938,1964,Winter,Spain,ESP,0,0,12.0,0,0
939,1964,Winter,Sweden,SWE,1,6,70.0,21,28
940,1964,Winter,Switzerland,SUI,0,0,100.0,0,0
941,1964,Winter,Turkey,TUR,0,0,12.0,0,0
942,1964,Winter,UK,GBR,0,2,61.0,0,2
943,1964,Winter,USA,USA,5,1,111.0,2,8
944,1968,Summer,Afghanistan,AFG,0,0,5.0,0,0
945,1968,Summer,Algeria,ALG,0,0,9.0,0,0
946,1968,Summer,Argentina,ARG,2,0,107.0,0,2
947,1968,Summer,Australia,AUS,10,5,155.0,32,47
948,1968,Summer,Austria,AUT,3,0,51.0,2,5
949,1968,Summer,Bahamas,BAH,0,0,16.0,0,0
950,1968,Summer,Barbados,BAR,0,0,11.0,0,0
951,1968,Summer,Belgium,BEL,2,0,100.0,0,2
952,1968,Summer,Belize,BIZ,0,0,6.0,0,0
953,1968,Summer,Bermuda,BER,0,0,5.0,0,0
954,1968,Summer,Boliva,BOL,0,0,1.0,0,0
955,1968,Summer,Brazil,BRA,3,0,72.0,1,4
956,1968,Summer,Bulgaria,BUL,3,2,152.0,20,25
957,1968,Summer,Cameroon,CMR,0,0,4.0,1,1
958,1968,Summer,Canada,CAN,4,2,249.0,3,9
959,1968,Summer,Central African Republic,CAF,0,0,1.0,0,0
960,1968,Summer,Chad,CHA,0,0,4.0,0,0
961,1968,Summer,Chile,CHI,0,0,17.0,0,0
962,1968,Summer,China,HKG,0,0,19.0,0,0
963,1968,Summer,Colombia,COL,0,0,60.0,0,0
964,1968,Summer,Costa Rica,CRC,0,0,18.0,0,0
965,1968,Summer,Cuba,CUB,0,0,151.0,10,10
966,1968,Summer,Curacao,AHO,0,0,4.0,0,0
967,1968,Summer,Czech Republic,TCH,9,7,169.0,6,22
968,1968,Summer,Democratic Republic of the Congo,COD,0,0,8.0,0,0
969,1968,Summer,Denmark,DEN,5,5,73.0,4,14
970,1968,Summer,Dominican Republic,DOM,0,0,20.0,0,0
971,1968,Summer,Ecuador,ECU,0,0,39.0,0,0
972,1968,Summer,Egypt,EGY,0,0,33.0,0,0
973,1968,Summer,El Salvador,ESA,0,0,87.0,0,0
974,1968,Summer,Ethiopia,ETH,0,0,21.0,0,0
975,1968,Summer,Finland,FIN,1,1,112.0,2,4
976,1968,Summer,France,FRA,10,12,257.0,4,26
977,1968,Summer,Germany,FRG,16,14,350.0,15,45
978,1968,Summer,Germany,GDR,17,12,276.0,18,47
979,1968,Summer,Ghana,GHA,0,0,32.0,0,0
980,1968,Summer,Greece,GRE,1,0,40.0,0,1
981,1968,Summer,Guatemala,GUA,0,0,57.0,0,0
982,1968,Summer,Guinea,GUI,0,0,15.0,0,0
983,1968,Summer,Guyana,GUY,0,0,6.0,0,0
984,1968,Summer,Honduras,HON,0,0,6.0,0,0
985,1968,Summer,Hungary,HUN,27,31,213.0,19,77
986,1968,Summer,Iceland,ISL,0,0,15.0,0,0
987,1968,Summer,India,IND,15,0,7.0,0,15
988,1968,Summer,Indonesia,INA,0,0,2.0,0,0
989,1968,Summer,Iran,IRI,2,1,6.0,1,4
990,1968,Summer,Iraq,IRQ,0,0,4.0,0,0
991,1968,Summer,Ireland,IRL,0,0,51.0,0,0
992,1968,Summer,Israel,ISR,0,0,36.0,0,0
993,1968,Summer,Italy,ITA,19,5,212.0,7,31
994,1968,Summer,Ivory Coast,CIV,0,0,10.0,0,0
995,1968,Summer,Jamaica,JAM,0,0,33.0,1,1
996,1968,Summer,Japan,JPN,21,15,197.0,23,59
997,1968,Summer,Kenya,KEN,2,3,37.0,7,12
998,1968,Summer,Kuwait,KUW,0,0,2.0,0,0
999,1968,Summer,Lebanon,LIB,0,0,14.0,0,0
1000,1968,Summer,Libya,LBA,0,0,1.0,0,0
1001,1968,Summer,Liechtenstein,LIE,0,0,3.0,0,0
